"","AA4","is_female","DG3","DG4","DG5_4","DG6","DG8a","DG9a","DL0","DL1","DL14","DL15","DL24","MT1","MT1A","MT2","MT10","IFI14_1","IFI14_2","IFI15_2","IFI16_1","FL4","FL9A","FL10","FB20","LN1A","LN2_1","GN2","GN3","GN4","GN5"
"1","32","1","3","5","2","2","4","4","1","1","5","3","99","1","99","2","2","2","2","2","99","99","11","99","10","1","1","99","99","99","99"
"2","26","1","8","5","2","2","4","2","2","7","5","1","3","1","4","2","2","1","6","3","1","2","6","2","12","3","1","1","2","2","2"
"3","16","1","3","2","2","7","4","1","2","7","8","1","3","1","2","2","2","3","3","2","1","2","1","1","1","4","1","2","2","2","2"
"4","44","1","3","5","2","2","2","2","2","7","4","2","3","2","2","1","1","3","3","2","2","2","6","11","6","3","1","2","2","99","99"
"5","43","1","3","6","2","2","99","2","2","7","5","3","99","99","2","2","2","3","2","3","5","1","9","99","2","2","2","1","1","1","1"
"6","35","0","3","4","2","1","3","3","1","1","3","2","4","99","1","2","2","2","3","2","2","1","1","3","10","3","1","2","1","1","1"
"7","35","0","1","6","2","3","5","2","2","6","8","2","9","1","3","2","2","99","99","99","2","99","11","99","15","3","1","4","4","4","4"
"8","41","0","3","10","2","1","2","2","1","5","2","2","4","1","1","1","1","1","1","1","1","2","11","4","2","2","1","3","3","3","3"
"9","16","0","5","7","2","1","2","2","1","1","2","3","4","1","1","1","2","2","2","2","2","1","3","2","1","1","4","1","2","2","1"
"10","34","1","5","5","2","2","2","1","2","1","4","1","9","1","1","1","1","4","4","1","3","8","11","11","14","2","1","3","3","3","3"
"11","23","0","3","4","2","1","5","5","1","4","10","2","3","2","4","2","2","3","4","3","2","8","3","5","15","3","1","1","1","1","1"
"12","31","0","3","6","2","1","2","99","1","3","4","1","99","1","1","1","2","3","99","99","1","1","5","1","1","1","2","3","3","3","3"
"13","32","1","3","1","2","1","3","3","2","99","5","2","99","1","99","2","2","99","99","99","99","99","11","99","14","4","1","99","99","99","99"
"14","26","0","6","5","2","1","2","1","1","2","2","2","3","1","1","1","1","3","4","2","2","1","11","99","1","3","3","1","1","1","1"
"15","31","0","3","1","2","1","2","0","2","9","2","1","5","0","99","2","2","3","99","2","1","1","5","7","2","3","1","1","1","1","1"
"16","31","0","3","5","2","1","6","6","1","4","10","1","9","3","1","1","1","5","6","5","3","1","1","7","1","3","2","3","3","3","3"
"17","33","0","3","5","2","1","2","1","1","1","4","2","2","1","1","1","2","99","99","99","2","1","11","5","1","3","1","1","1","1","1"
"18","33","1","3","5","2","2","2","2","2","7","5","3","9","2","1","2","2","1","1","1","1","2","11","1","2","3","1","2","2","2","2"
"19","34","0","3","4","2","1","3","2","1","2","3","2","3","0","99","2","2","2","2","2","1","8","1","8","2","3","1","1","1","1","1"
"20","44","1","3","6","2","2","5","5","2","7","5","3","3","4","1","1","1","1","1","1","1","2","8","11","10","1","4","1","3","2","3"
"21","35","0","3","6","2","1","2","2","1","4","4","3","1","1","1","1","1","4","4","3","1","2","11","99","15","3","1","2","99","99","99"
"22","11","1","3","11","2","2","2","2","2","7","3","3","4","2","1","1","1","3","2","3","2","2","1","1","6","1","4","2","2","2","2"
"23","16","1","3","1","2","2","2","1","2","1","4","2","2","1","2","1","1","99","99","99","2","1","8","9","15","3","1","1","2","2","2"
"24","41","1","3","1","2","1","2","2","1","3","2","1","2","2","1","1","1","2","2","1","1","1","3","11","13","3","1","1","1","1","1"
"25","21","0","1","7","2","3","4","1","2","8","7","1","2","0","3","2","2","99","6","3","2","8","5","7","10","1","3","4","4","4","4"
"26","16","0","1","6","2","3","2","2","2","8","6","1","5","1","3","2","2","2","2","99","1","8","1","4","1","1","4","4","4","4","4"
"27","16","0","3","2","2","1","6","3","1","1","10","2","4","2","3","1","2","1","1","1","1","1","3","5","1","1","4","1","1","1","1"
"28","16","1","3","1","2","2","3","2","2","7","5","1","2","1","4","2","2","4","4","4","1","2","3","5","1","3","2","2","2","2","3"
"29","42","1","3","1","2","3","7","7","2","7","7","1","5","1","2","2","2","1","99","99","1","3","1","9","10","4","1","3","3","3","3"
"30","35","1","3","1","2","99","2","2","2","99","2","2","99","0","99","2","2","99","99","99","99","99","1","99","1","3","1","99","99","99","99"
"31","14","1","2","2","2","2","5","2","2","7","9","1","2","2","2","2","2","3","99","99","1","2","1","5","3","4","1","1","2","3","3"
"32","23","0","1","7","2","3","2","2","2","8","5","1","2","1","3","2","1","3","3","2","2","8","1","11","13","1","3","4","4","4","4"
"33","35","1","3","7","2","2","3","3","2","7","4","3","5","1","2","2","2","1","1","1","7","2","3","1","2","4","4","2","2","2","2"
"34","16","0","3","4","2","4","3","3","1","1","4","4","9","1","1","1","1","2","99","99","99","1","5","7","4","2","1","1","1","1","1"
"35","26","0","3","1","2","1","2","1","1","3","3","1","3","1","1","1","1","3","3","99","2","2","6","2","6","3","1","2","2","2","2"
"36","25","1","8","2","2","2","1","1","2","7","2","1","2","1","2","2","2","2","1","1","1","2","1","11","6","3","1","3","3","3","3"
"37","15","1","3","5","2","2","2","1","2","7","3","2","3","1","2","2","2","4","4","2","3","2","11","11","14","3","1","3","3","3","3"
"38","23","0","3","6","2","2","1","1","2","8","3","4","3","1","1","1","2","3","3","3","2","1","11","1","2","1","4","4","4","4","4"
"39","41","1","3","7","2","2","2","1","2","7","4","3","5","1","2","2","2","3","3","99","7","2","2","2","1","2","3","3","3","3","3"
"40","31","1","3","5","2","2","2","99","2","99","2","4","99","99","2","2","2","3","3","1","1","1","7","6","15","1","3","3","99","3","3"
"41","21","1","3","5","2","2","2","0","2","7","4","2","3","1","2","1","2","3","3","3","2","2","1","2","2","1","2","2","2","2","2"
"42","17","1","3","4","2","2","2","1","2","7","4","4","2","1","2","2","2","5","99","99","2","1","1","1","1","2","2","1","2","1","1"
"43","34","1","8","5","2","2","2","1","1","1","5","2","5","1","2","2","2","99","99","99","3","2","7","1","15","3","2","2","2","2","2"
"44","15","0","3","6","2","2","4","2","2","7","6","2","2","3","99","1","2","2","2","2","1","2","1","11","10","1","5","2","2","2","2"
"45","23","1","3","3","2","2","2","1","2","7","5","1","3","2","1","1","1","5","2","2","2","1","1","3","1","3","1","1","1","1","1"
"46","42","1","3","5","2","1","3","3","1","1","3","3","9","2","1","1","2","2","2","2","1","1","7","99","7","2","4","1","1","1","1"
"47","25","1","8","5","2","2","2","1","2","7","2","3","3","1","2","2","2","3","3","99","99","2","2","6","2","2","3","3","3","99","99"
"48","43","0","2","4","1","1","2","2","1","1","2","2","5","1","1","1","1","99","99","99","99","1","1","99","1","1","1","1","1","1","1"
"49","32","0","3","1","2","4","4","2","2","9","6","1","3","1","99","2","2","99","99","99","2","1","11","99","2","4","1","96","96","96","96"
"50","42","0","3","5","2","1","2","1","1","1","2","3","2","1","1","1","1","2","2","4","1","1","7","5","15","4","1","1","1","1","1"
"51","34","0","3","7","2","1","2","1","1","1","4","2","5","2","1","1","1","1","1","1","1","1","5","11","2","1","4","2","3","3","3"
"52","41","0","3","4","2","4","4","4","2","1","7","1","2","1","4","2","2","5","99","99","2","8","8","11","15","4","1","3","3","3","3"
"53","32","0","3","1","2","1","4","4","2","10","5","1","2","99","4","2","2","99","99","99","1","99","11","99","1","2","1","3","3","99","99"
"54","26","1","6","1","2","1","1","1","2","7","2","1","1","0","1","2","2","4","99","99","3","1","3","5","1","2","1","1","1","1","1"
"55","36","1","6","6","2","1","2","1","2","9","2","3","3","1","1","1","1","5","99","99","1","3","1","10","12","2","3","3","3","1","1"
"56","16","0","3","5","2","1","4","3","1","4","8","4","2","1","4","2","2","3","2","2","2","8","2","10","4","2","1","1","1","1","1"
"57","23","1","3","1","2","2","2","1","2","7","5","1","3","1","2","1","2","3","3","2","2","2","6","5","1","4","1","2","2","2","2"
"58","41","1","3","6","2","2","3","3","2","1","3","2","4","2","2","1","1","1","1","1","1","2","1","6","2","1","4","2","2","2","2"
"59","41","1","3","4","2","2","2","1","2","1","2","2","3","1","4","2","1","2","3","3","2","2","3","2","12","4","2","2","3","4","2"
"60","23","1","3","2","2","2","2","2","2","5","5","3","3","1","2","2","2","3","99","99","2","1","1","2","6","4","1","2","2","2","2"
"61","26","0","3","5","2","1","3","1","1","4","3","1","3","1","2","2","2","3","3","3","2","1","3","2","5","1","1","3","1","3","1"
"62","44","0","3","8","2","1","2","1","1","1","2","3","3","1","1","1","1","3","1","1","7","1","1","2","2","1","5","3","3","3","3"
"63","22","1","8","1","2","2","5","5","2","7","6","1","1","1","2","2","2","99","99","99","1","2","6","8","3","4","1","3","3","3","3"
"64","41","1","3","1","2","2","4","1","2","1","4","1","2","1","2","2","2","3","3","2","2","2","6","7","6","4","1","3","3","3","3"
"65","23","1","3","1","2","2","2","0","2","7","2","1","3","1","4","2","2","1","99","99","1","1","1","11","2","4","1","2","2","2","2"
"66","16","0","3","5","2","1","2","1","1","4","3","1","2","1","99","2","2","3","99","99","2","1","3","1","2","4","1","2","2","2","2"
"67","23","1","3","7","2","1","2","1","2","7","5","2","3","1","2","2","2","1","1","1","1","1","1","1","13","1","4","1","2","2","2"
"68","11","1","3","7","2","2","2","0","2","7","4","2","3","2","2","2","2","4","99","3","3","2","1","3","5","1","4","2","2","2","2"
"69","44","0","3","8","2","1","3","3","1","1","3","3","4","2","1","1","1","3","3","3","7","1","11","6","14","1","5","1","1","1","1"
"70","16","1","3","1","2","1","3","1","2","1","4","2","2","1","1","1","1","4","3","2","2","1","8","7","15","3","1","1","3","3","3"
"71","44","0","3","6","2","1","2","2","1","9","2","2","5","1","1","1","1","1","1","1","7","2","1","11","1","1","4","1","1","1","1"
"72","25","1","3","1","2","2","2","1","2","7","3","1","2","0","2","2","2","2","2","2","1","2","1","3","1","4","1","3","3","3","3"
"73","42","1","6","1","2","1","1","1","1","1","1","1","3","0","99","2","2","3","3","1","1","1","3","2","1","4","1","1","1","1","1"
"74","24","1","1","5","2","3","2","0","2","3","3","4","2","1","1","2","2","1","1","1","1","8","1","1","15","1","3","4","4","99","99"
"75","34","0","1","6","2","3","5","5","2","8","6","4","3","1","3","2","2","4","3","99","2","99","7","10","2","1","5","4","4","4","4"
"76","44","1","6","4","2","1","1","1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","3","5","13","4","1","1","1","1","1"
"77","16","1","3","1","2","2","2","2","2","7","5","3","1","1","2","2","2","3","99","99","1","2","3","1","9","4","1","3","3","2","99"
"78","16","0","3","10","2","3","4","1","2","8","6","1","3","2","3","1","1","2","2","2","1","8","6","11","15","1","3","4","4","4","4"
"79","16","0","1","1","2","3","4","2","2","1","10","4","9","99","3","1","2","2","2","1","1","8","1","1","1","1","1","3","4","1","1"
"80","34","1","6","3","2","3","3","2","2","7","5","1","4","2","4","2","2","2","99","99","1","8","1","11","15","3","1","3","3","3","3"
"81","24","0","3","5","2","1","3","0","1","4","5","1","3","1","1","1","1","5","4","3","2","1","11","5","15","1","1","1","1","1","1"
"82","31","0","3","5","1","1","2","2","1","1","2","1","4","2","1","1","1","3","99","1","2","1","1","3","1","4","1","3","99","2","2"
"83","13","0","3","4","2","1","3","3","1","1","3","2","3","1","1","1","1","5","5","5","1","1","11","11","10","4","1","1","1","1","1"
"84","33","1","1","7","2","3","2","2","2","1","3","1","99","1","3","1","2","3","3","2","2","1","11","99","15","1","3","99","99","99","99"
"85","32","1","3","7","2","2","3","3","2","4","5","3","4","2","2","1","2","1","1","1","1","2","9","2","2","2","3","3","3","3","3"
"86","35","1","3","7","2","2","2","2","2","96","4","3","5","1","2","2","2","3","99","99","1","99","1","11","9","1","3","2","2","99","99"
